scope_type;scope_value;feature;target;correlation;abs_correlation;n_observations;feature_label;feature_category;scope_type_label;scope;rank_abs_corr;rank_corr_desc;correlation_direction
canton;GE_VD;vapour_pressure;consumption_mwh;-0,3095793767314014;0,3095793767314014;96421;Vapour Pressure;Temperature / Thermal;Canton;Canton | GE_VD;5,0;26,0;Negative
canton;GE_VD;hour;consumption_mwh;0,2929578954973768;0,2929578954973768;96421;Hour;Time Features;Canton;Canton | GE_VD;6,0;4,0;Positive
canton;GE_VD;wind_speed;consumption_mwh;0,25105496516366776;0,25105496516366776;96421;Wind Speed;Atmospheric;Canton;Canton | GE_VD;7,0;5,0;Positive
canton;GE_VD;global_radiation;consumption_mwh;0,24819650354036119;0,24819650354036119;96421;Global Radiation;Solar / Light;Canton;Canton | GE_VD;8,0;6,0;Positive
canton;GE_VD;hdd;consumption_mwh;0,22140255762530908;0,22140255762530908;96421;Heating Degree Days;Temperature / Thermal;Canton;Canton | GE_VD;9,0;7,0;Positive
canton;GE_VD;wind_direction;consumption_mwh;-0,17468170200246108;0,17468170200246108;96421;Wind Direction;Atmospheric;Canton;Canton | GE_VD;10,0;25,0;Negative
canton;GE_VD;temperature_2m;consumption_mwh;-0,16109407809247486;0,16109407809247486;96421;Temperature;Temperature / Thermal;Canton;Canton | GE_VD;11,0;24,0;Negative
canton;GE_VD;humidity_rel;consumption_mwh;-0,1593915705487837;0,1593915705487837;96421;Relative Humidity;Precipitation / Humidity;Canton;Canton | GE_VD;12,0;23,0;Negative
canton;GE_VD;sunshine_duration;consumption_mwh;0,1566510782728314;0,1566510782728314;96421;Sunshine Duration;Solar / Light;Canton;Canton | GE_VD;13,0;8,0;Positive
canton;GE_VD;year;consumption_mwh;-0,13260513859995227;0,13260513859995227;96421;Year;Time Features;Canton;Canton | GE_VD;14,0;22,0;Negative
canton;GE_VD;is_weekend;consumption_mwh;-0,11349382637386676;0,11349382637386676;96421;Weekend;Time Features;Canton;Canton | GE_VD;15,0;21,0;Negative
canton;GE_VD;day_of_week;consumption_mwh;-0,10574271637495361;0,10574271637495361;96421;Day of Week;Time Features;Canton;Canton | GE_VD;16,0;20,0;Negative
canton;GE_VD;precipitation_flag;consumption_mwh;0,06519632328024942;0,06519632328024942;96421;Precipitation Flag;Precipitation / Humidity;Canton;Canton | GE_VD;17,0;9,0;Positive
canton;GE_VD;is_extreme_cold;consumption_mwh;0,06423812699175065;0,06423812699175065;96421;Extreme Cold;Extreme Weather Flags;Canton;Canton | GE_VD;18,0;10,0;Positive
canton;GE_VD;is_extreme_heat;consumption_mwh;0,059439361492303715;0,059439361492303715;96421;Extreme Heat;Extreme Weather Flags;Canton;Canton | GE_VD;19,0;11,0;Positive
canton;GE_VD;quarter;consumption_mwh;-0,04839162597084073;0,04839162597084073;96421;Quarter;Time Features;Canton;Canton | GE_VD;20,0;19,0;Negative
canton;GE_VD;month;consumption_mwh;-0,03994312717201041;0,03994312717201041;96421;Month;Time Features;Canton;Canton | GE_VD;21,0;18,0;Negative
canton;GE_VD;week_of_year;consumption_mwh;-0,0379287785406911;0,0379287785406911;96421;Week of Year;Time Features;Canton;Canton | GE_VD;22,0;17,0;Negative
canton;GE_VD;cdd;consumption_mwh;0,03520577977677979;0,03520577977677979;96421;Cooling Degree Days;Temperature / Thermal;Canton;Canton | GE_VD;23,0;12,0;Positive
canton;GE_VD;precipitation;consumption_mwh;0,02587643969312593;0,02587643969312593;96421;Precipitation;Precipitation / Humidity;Canton;Canton | GE_VD;24,0;13,0;Positive
canton;GE_VD;pressure_station;consumption_mwh;-0,025561688755801754;0,025561688755801754;96421;Station Pressure;Atmospheric;Canton;Canton | GE_VD;25,0;16,0;Negative
canton;GE_VD;pressure_qnh;consumption_mwh;-0,025060804021722335;0,025060804021722335;96421;Pressure QNH;Atmospheric;Canton;Canton | GE_VD;26,0;15,0;Negative
canton;GE_VD;heavy_precipitation_flag;consumption_mwh;-0,004128950051613036;0,004128950051613036;96421;Heavy Precipitation Flag;Precipitation / Humidity;Canton;Canton | GE_VD;27,0;14,0;Negative
canton;GR;consumption_lag_24h;consumption_mwh;0,7777328729505034;0,7777328729505034;96421;Consumption Lag (24h);Lag / Historical;Canton;Canton | GR;1,0;1,0;Positive
canton;GR;consumption_lag_168h;consumption_mwh;0,6911352074717712;0,6911352074717712;96421;Consumption Lag (168h);Lag / Historical;Canton;Canton | GR;2,0;2,0;Positive
canton;GR;dew_point;consumption_mwh;-0,5547373761878177;0,5547373761878177;96421;Dew Point;Temperature / Thermal;Canton;Canton | GR;3,0;27,0;Negative
canton;GR;vapour_pressure;consumption_mwh;-0,527311073213074;0,527311073213074;96421;Vapour Pressure;Temperature / Thermal;Canton;Canton | GR;4,0;26,0;Negative
canton;GR;hdd;consumption_mwh;0,47470075086894586;0,47470075086894586;96421;Heating Degree Days;Temperature / Thermal;Canton;Canton | GR;5,0;3,0;Positive
canton;GR;is_extreme_cold;consumption_mwh;0,46741614731616515;0,46741614731616515;96421;Extreme Cold;Extreme Weather Flags;Canton;Canton | GR;6,0;4,0;Positive
canton;GR;temperature_2m;consumption_mwh;-0,4587280940873046;0,4587280940873046;96421;Temperature;Temperature / Thermal;Canton;Canton | GR;7,0;25,0;Negative
canton;GR;is_business_hour;consumption_mwh;0,2984447033899449;0,2984447033899449;96421;Business Hour;Time Features;Canton;Canton | GR;8,0;5,0;Positive
canton;GR;pressure_qnh;consumption_mwh;-0,22783555540030173;0,22783555540030173;96421;Pressure QNH;Atmospheric;Canton;Canton | GR;9,0;24,0;Negative
canton;GR;pressure_station;consumption_mwh;-0,22781732354368048;0,22781732354368048;96421;Station Pressure;Atmospheric;Canton;Canton | GR;10,0;23,0;Negative
canton;GR;quarter;consumption_mwh;-0,2158555426391375;0,2158555426391375;96421;Quarter;Time Features;Canton;Canton | GR;11,0;22,0;Negative
canton;GR;month;consumption_mwh;-0,18775409392537848;0,18775409392537848;96421;Month;Time Features;Canton;Canton | GR;12,0;21,0;Negative
canton;GR;week_of_year;consumption_mwh;-0,18665058572706306;0,18665058572706306;96421;Week of Year;Time Features;Canton;Canton | GR;13,0;20,0;Negative
canton;GR;humidity_rel;consumption_mwh;-0,1157573194745575;0,1157573194745575;96421;Relative Humidity;Precipitation / Humidity;Canton;Canton | GR;14,0;19,0;Negative
canton;GR;sunshine_duration;consumption_mwh;0,1092347255222612;0,1092347255222612;96421;Sunshine Duration;Solar / Light;Canton;Canton | GR;15,0;6,0;Positive
canton;GR;global_radiation;consumption_mwh;0,09130311822432398;0,09130311822432398;96421;Global Radiation;Solar / Light;Canton;Canton | GR;16,0;7,0;Positive
canton;GR;hour;consumption_mwh;0,05546850322990306;0,05546850322990306;96421;Hour;Time Features;Canton;Canton | GR;17,0;8,0;Positive
canton;GR;is_weekend;consumption_mwh;0,05481966098217821;0,05481966098217821;96421;Weekend;Time Features;Canton;Canton | GR;18,0;9,0;Positive
canton;GR;day_of_week;consumption_mwh;0,045353700470294064;0,045353700470294064;96421;Day of Week;Time Features;Canton;Canton | GR;19,0;10,0;Positive
canton;GR;cdd;consumption_mwh;-0,034622938321939356;0,034622938321939356;96421;Cooling Degree Days;Temperature / Thermal;Canton;Canton | GR;20,0;18,0;Negative
canton;GR;wind_speed;consumption_mwh;0,026780607312318475;0,026780607312318475;96421;Wind Speed;Atmospheric;Canton;Canton | GR;21,0;11,0;Positive
canton;GR;precipitation_flag;consumption_mwh;0,026252979039584776;0,026252979039584776;96421;Precipitation Flag;Precipitation / Humidity;Canton;Canton | GR;22,0;12,0;Positive
canton;GR;wind_direction;consumption_mwh;-0,02240374334124042;0,02240374334124042;96421;Wind Direction;Atmospheric;Canton;Canton | GR;23,0;17,0;Negative
canton;GR;year;consumption_mwh;-0,017115457624774146;0,017115457624774146;96421;Year;Time Features;Canton;Canton | GR;24,0;16,0;Negative
canton;GR;heavy_precipitation_flag;consumption_mwh;-0,014293600277814088;0,014293600277814088;96421;Heavy Precipitation Flag;Precipitation / Humidity;Canton;Canton | GR;25,0;15,0;Negative
canton;GR;precipitation;consumption_mwh;-0,005119296068544861;0,005119296068544861;96421;Precipitation;Precipitation / Humidity;Canton;Canton | GR;26,0;14,0;Negative
canton;GR;is_extreme_heat;consumption_mwh;-0,0003298171746928;0,0003298171746928;96421;Extreme Heat;Extreme Weather Flags;Canton;Canton | GR;27,0;13,0;Negative
canton;SG;consumption_lag_168h;consumption_mwh;0,7539906489604785;0,7539906489604785;96421;Consumption Lag (168h);Lag / Historical;Canton;Canton | SG;1,0;1,0;Positive
canton;SG;consumption_lag_24h;consumption_mwh;0,7045621356812425;0,7045621356812425;96421;Consumption Lag (24h);Lag / Historical;Canton;Canton | SG;2,0;2,0;Positive
canton;SG;hdd;consumption_mwh;0,4292703556667589;0,4292703556667589;96421;Heating Degree Days;Temperature / Thermal;Canton;Canton | SG;3,0;3,0;Positive
canton;SG;dew_point;consumption_mwh;-0,4106859899342543;0,4106859899342543;96421;Dew Point;Temperature / Thermal;Canton;Canton | SG;4,0;27,0;Negative
canton;SG;temperature_2m;consumption_mwh;-0,40346583830084065;0,40346583830084065;96421;Temperature;Temperature / Thermal;Canton;Canton | SG;5,0;26,0;Negative
canton;SG;is_weekend;consumption_mwh;-0,3989519449414368;0,3989519449414368;96421;Weekend;Time Features;Canton;Canton | SG;6,0;25,0;Negative
canton;SG;vapour_pressure;consumption_mwh;-0,38627556906751154;0,38627556906751154;96421;Vapour Pressure;Temperature / Thermal;Canton;Canton | SG;7,0;24,0;Negative
canton;SG;is_business_hour;consumption_mwh;0,3755951621657563;0,3755951621657563;96421;Business Hour;Time Features;Canton;Canton | SG;8,0;4,0;Positive
canton;SG;day_of_week;consumption_mwh;-0,3210949071875877;0,3210949071875877;96421;Day of Week;Time Features;Canton;Canton | SG;9,0;23,0;Negative
canton;SG;is_extreme_cold;consumption_mwh;0,29040999916650695;0,29040999916650695;96421;Extreme Cold;Extreme Weather Flags;Canton;Canton | SG;10,0;5,0;Positive
canton;SG;hour;consumption_mwh;0,14828911350711294;0,14828911350711294;96421;Hour;Time Features;Canton;Canton | SG;11,0;6,0;Positive
canton;SG;year;consumption_mwh;-0,1263612856113287;0,1263612856113287;96421;Year;Time Features;Canton;Canton | SG;12,0;22,0;Negative
canton;SG;quarter;consumption_mwh;-0,11112750215787678;0,11112750215787678;96421;Quarter;Time Features;Canton;Canton | SG;13,0;21,0;Negative
canton;SG;global_radiation;consumption_mwh;0,10891793920994094;0,10891793920994094;96421;Global Radiation;Solar / Light;Canton;Canton | SG;14,0;7,0;Positive
canton;SG;month;consumption_mwh;-0,09712303610007275;0,09712303610007275;96421;Month;Time Features;Canton;Canton | SG;15,0;20,0;Negative
canton;SG;cdd;consumption_mwh;-0,09540725237029887;0,09540725237029887;96421;Cooling Degree Days;Temperature / Thermal;Canton;Canton | SG;16,0;19,0;Negative
canton;SG;week_of_year;consumption_mwh;-0,09524805432886248;0,09524805432886248;96421;Week of Year;Time Features;Canton;Canton | SG;17,0;18,0;Negative
canton;SG;humidity_rel;consumption_mwh;0,07995405606585694;0,07995405606585694;96421;Relative Humidity;Precipitation / Humidity;Canton;Canton | SG;18,0;8,0;Positive
canton;SG;wind_speed;consumption_mwh;0,0661456929020201;0,0661456929020201;96421;Wind Speed;Atmospheric;Canton;Canton | SG;19,0;9,0;Positive
canton;SG;pressure_station;consumption_mwh;-0,06178165459355574;0,06178165459355574;96421;Station Pressure;Atmospheric;Canton;Canton | SG;20,0;17,0;Negative
canton;SG;pressure_qnh;consumption_mwh;-0,0617701921162929;0,0617701921162929;96421;Pressure QNH;Atmospheric;Canton;Canton | SG;21,0;16,0;Negative
canton;SG;sunshine_duration;consumption_mwh;0,049284341673528534;0,049284341673528534;96421;Sunshine Duration;Solar / Light;Canton;Canton | SG;22,0;10,0;Positive
canton;SG;precipitation_flag;consumption_mwh;0,04523144789365937;0,04523144789365937;96421;Precipitation Flag;Precipitation / Humidity;Canton;Canton | SG;23,0;11,0;Positive
canton;SG;heavy_precipitation_flag;consumption_mwh;-0,025228343734043358;0,025228343734043358;96421;Heavy Precipitation Flag;Precipitation / Humidity;Canton;Canton | SG;24,0;15,0;Negative
canton;SG;is_extreme_heat;consumption_mwh;-0,01985109577237513;0,01985109577237513;96421;Extreme Heat;Extreme Weather Flags;Canton;Canton | SG;25,0;14,0;Negative
canton;SG;wind_direction;consumption_mwh;-0,013347668986576588;0,013347668986576588;96421;Wind Direction;Atmospheric;Canton;Canton | SG;26,0;13,0;Negative
canton;SG;precipitation;consumption_mwh;-0,008433081753299099;0,008433081753299099;96421;Precipitation;Precipitation / Humidity;Canton;Canton | SG;27,0;12,0;Negative
canton;TI;consumption_lag_24h;consumption_mwh;0,8141077008426016;0,8141077008426016;96421;Consumption Lag (24h);Lag / Historical;Canton;Canton | TI;1,0;1,0;Positive
canton;TI;consumption_lag_168h;consumption_mwh;0,7901997648784588;0,7901997648784588;96421;Consumption Lag (168h);Lag / Historical;Canton;Canton | TI;2,0;2,0;Positive
canton;TI;hdd;consumption_mwh;0,4846512529150531;0,4846512529150531;96421;Heating Degree Days;Temperature / Thermal;Canton;Canton | TI;3,0;3,0;Positive
canton;TI;dew_point;consumption_mwh;-0,425373859506463;0,425373859506463;96421;Dew Point;Temperature / Thermal;Canton;Canton | TI;4,0;27,0;Negative
canton;TI;vapour_pressure;consumption_mwh;-0,4050381766308896;0,4050381766308896;96421;Vapour Pressure;Temperature / Thermal;Canton;Canton | TI;5,0;26,0;Negative
canton;TI;temperature_2m;consumption_mwh;-0,4027114732266877;0,4027114732266877;96421;Temperature;Temperature / Thermal;Canton;Canton | TI;6,0;25,0;Negative
canton;TI;is_business_hour;consumption_mwh;0,39486346680740786;0,39486346680740786;96421;Business Hour;Time Features;Canton;Canton | TI;7,0;4,0;Positive
canton;TI;hour;consumption_mwh;0,25414340352870934;0,25414340352870934;96421;Hour;Time Features;Canton;Canton | TI;8,0;5,0;Positive
canton;TI;is_weekend;consumption_mwh;-0,20004736365570985;0,20004736365570985;96421;Weekend;Time Features;Canton;Canton | TI;9,0;24,0;Negative
canton;TI;day_of_week;consumption_mwh;-0,1541576379635123;0,1541576379635123;96421;Day of Week;Time Features;Canton;Canton | TI;10,0;23,0;Negative
canton;TI;year;consumption_mwh;-0,1384724671170458;0,1384724671170458;96421;Year;Time Features;Canton;Canton | TI;11,0;22,0;Negative
canton;TI;wind_direction;consumption_mwh;-0,13489337375247681;0,13489337375247681;96421;Wind Direction;Atmospheric;Canton;Canton | TI;12,0;21,0;Negative
canton;TI;global_radiation;consumption_mwh;0,12645368342467433;0,12645368342467433;96421;Global Radiation;Solar / Light;Canton;Canton | TI;13,0;6,0;Positive
canton;TI;cdd;consumption_mwh;-0,12029394916821542;0,12029394916821542;96421;Cooling Degree Days;Temperature / Thermal;Canton;Canton | TI;14,0;20,0;Negative
canton;TI;sunshine_duration;consumption_mwh;0,11585477980101437;0,11585477980101437;96421;Sunshine Duration;Solar / Light;Canton;Canton | TI;15,0;7,0;Positive
canton;TI;quarter;consumption_mwh;-0,11407762614730992;0,11407762614730992;96421;Quarter;Time Features;Canton;Canton | TI;16,0;19,0;Negative
canton;TI;month;consumption_mwh;-0,10854940930355454;0,10854940930355454;96421;Month;Time Features;Canton;Canton | TI;17,0;18,0;Negative
canton;TI;is_extreme_cold;consumption_mwh;0,1045717753073228;0,1045717753073228;96421;Extreme Cold;Extreme Weather Flags;Canton;Canton | TI;18,0;8,0;Positive
canton;TI;week_of_year;consumption_mwh;-0,1004108560958356;0,1004108560958356;96421;Week of Year;Time Features;Canton;Canton | TI;19,0;17,0;Negative
canton;TI;humidity_rel;consumption_mwh;-0,08876341062589427;0,08876341062589427;96421;Relative Humidity;Precipitation / Humidity;Canton;Canton | TI;20,0;16,0;Negative
canton;TI;precipitation_flag;consumption_mwh;0,05295111331411927;0,05295111331411927;96421;Precipitation Flag;Precipitation / Humidity;Canton;Canton | TI;21,0;9,0;Positive
canton;TI;wind_speed;consumption_mwh;0,0388983151163216;0,0388983151163216;96421;Wind Speed;Atmospheric;Canton;Canton | TI;22,0;10,0;Positive
canton;TI;heavy_precipitation_flag;consumption_mwh;-0,015572353938981053;0,015572353938981053;96421;Heavy Precipitation Flag;Precipitation / Humidity;Canton;Canton | TI;23,0;15,0;Negative
canton;TI;precipitation;consumption_mwh;-0,0036731093284629473;0,0036731093284629473;96421;Precipitation;Precipitation / Humidity;Canton;Canton | TI;24,0;14,0;Negative
canton;TI;is_extreme_heat;consumption_mwh;-0,003274463060188866;0,003274463060188866;96421;Extreme Heat;Extreme Weather Flags;Canton;Canton | TI;25,0;13,0;Negative
